;;;;AGG-BLX;;;;;;;;
;Diabetes;;;;Ozone;;;;Spectf-heart;;;
;%_clas;%red;Fit.;T;%_clas;%red;Fit.;T;%_clas;%red;Fit.;T
Partición 0 ;65.49;0.00;52.39;0.00
Partición 1 ;69.48;0.00;55.58;0.00
Partición 2 ;62.34;0.00;49.87;0.00
Partición 3 ;62.34;0.00;49.87;0.00
Partición 4 ;68.83;0.00;55.06;0.00
Partición 5 ;64.47;0.00;51.58;0.00
;;;;Global;;;;;;;;
;Diabetes;;;;Ozone;;;;Spectf-heart;;;
;%_clas;%red;Fit.;T (s);%_clas;%red;Fit.;T (s);%_clas;%red;Fit.;T (s)
AGG-BLX;65.49;0.00;52.39;0.00
